,artist,credits,key,status,title
0,Ohio Players,"{'artist': ['William Beck', 'Leroy ""Sugarfoot"" Bonner', 'Marshall ""Rock"" Jones', 'Ralph Middlebrooks', 'Barry Mraz', 'Ohio Players', 'Marvin Pierce', 'Clarence ""Satch"" Satchell', 'James Williams'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Engineer                        ', '\n                            Primary Artist,  Producer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",Ohio Players - Fire,good,Fire
1,Al Green,"{'artist': ['Ira Allen', 'Michael Allen', 'Michael J. Allen', 'Charles Chalmers', 'Sandra Chalmers', 'Chris Clough', 'Howard Craft', 'Bill Dahl', 'Colin Escott', 'Al Green', 'Howard Grimes', 'Jack Hale', 'C. Hodges', 'Charles Hodges', 'Charles E. Jr. Hodges', 'Larry Hodges', 'Leroy Hodges', 'Mabon ""Teenie"" Hodges', 'Wayne Jackson', 'Richard Kriegler', 'Bob Levy', 'Ed Logan', 'Andrew Love', 'The Memphis Horns', 'The Memphis Strings', 'James Mitchell', 'James J. Mitchell', 'Willie Mitchell', 'Bob Norberg', 'Earl Randle', 'Eric Randle', 'Rhodes, Chalmers & Rhodes', 'Alan Robinson', 'Glenn Ross', 'A. Sanders', 'Alma Sanders', 'Archie Turner'], 'credit': ['\n                            Composer                        ', '\n                            Composer,  Main Personnel,  Piano,  Rhythm Section                        ', '\n                            Piano                        ', '\n                            String Arrangements,  Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Mastering Supervisor                        ', '\n                            Mastering                        ', '\n                            Liner Notes                        ', '\n                            Liner Notes,  Reissue Producer                        ', '\n                            Audio Production,  Composer,  Main Personnel,  Primary Artist,  Producer,  Vocals                        ', '\n                            Bongos,  Congas,  Drums,  Main Personnel,  Rhythm Section                        ', '\n                            Horn Section,  Main Personnel,  Trombone                        ', '\n                            Composer                        ', '\n                            Composer,  Main Personnel,  Organ,  Piano                        ', '\n                            Organ,  Piano                        ', '\n                            Bass Instrument,  Main Personnel                        ', '\n                            Bass,  Rhythm Section                        ', '\n                            Composer,  Guitar,  Main Personnel,  Rhythm Section                        ', '\n                            Horn Section,  Main Personnel,  Trumpet                        ', '\n                            Art Direction,  Design                        ', '\n                            Photography                        ', '\n                            Horn (Tenor),  Horn Section,  Main Personnel,  Sax (Tenor)                        ', '\n                            Horn (Tenor),  Horn Section,  Main Personnel,  Sax (Tenor)                        ', '\n                            Guest Artist                        ', '\n                            Main Personnel,  Strings,  String Section                        ', '\n                            Main Personnel,  Sax (Baritone)                        ', '\n                            Sax (Baritone),  String Arrangements                        ', '\n                            Audio Engineer,  Audio Production,  Composer,  Engineer,  Producer,  Remixing                        ', '\n                            Remastering                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Liner Notes                        ', '\n                            Art Direction,  Design                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Main Personnel,  Piano,  Rhythm Section                        ']}",Al Green - Explores Your Mind,good,Explores Your Mind
2,The Crusaders,"{'artist': ['Todd Ao', 'Larry Carlton', 'The Crusaders', 'Wilton Felder', 'Wayne Henderson', 'Stix Hooper', 'Stewart Levine', 'Joe Sample'], 'credit': ['\n                            Composer                        ', '\n                            Composer,  Guitar                        ', '\n                            Primary Artist                        ', '\n                            Composer,  Sax (Tenor),  Saxophone                        ', '\n                            Composer,  Trombone                        ', '\n                            Composer,  Drums                        ', '\n                            Producer                        ', '\n                            Composer,  Keyboards                        ']}",The Crusaders - Southern Comfort,good,Southern Comfort
3,Gladys Knight And The Pips,error,Gladys Knight And The Pips - I Feel A Song,error,I Feel A Song
4,The Isley Brothers,"{'artist': ['Steven Berkowitz', 'Malcolm Cecil', 'Joan Decola', 'Kent Duncan', 'Andy Engel', 'Howard Fritzson', 'Don Hunstein', 'The Isley Brothers', 'Ernie Isley', 'Marvin Isley', ""O'Kelly Isley"", 'Ronald Isley', 'Rudolph Isley', 'Chris Jasper', 'Ed Lee', 'Robert Margouleff', 'Patti Matheny', 'Bridget McGoldrick', 'Joy Gilbert Monfried', 'George Moreland', 'Gary Ozabul', 'Joseph M. Palmaccio', 'Karl Potter', 'Todd Rundgren', 'Leo Sacks', 'Darren Salmieri', 'Sara Syms', 'Truman Thomas', 'Joel Whitburn'], 'credit': ['\n                            A&R                        ', '\n                            Associate Producer,  Engineer,  Synthesizer Programming                        ', '\n                            Assistant Engineer,  Mixing Assistant                        ', '\n                            Mastering                        ', '\n                            Design                        ', '\n                            Art Direction,  Reissue Art Director                        ', '\n                            Photography                        ', '\n                            Arranger,  Original Recording Producer,  Primary Artist,  Producer                        ', '\n                            Composer,  Drums,  Guitar (12 String),  Guitar (12 String Acoustic),  Guitar (Acoustic),  Guitar (Electric),  Tambourine                        ', '\n                            Bass,  Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            ARP Synthesizer,  Clavinet,  Composer,  Liner Notes,  Maracas,  Moog Synthesizer,  Piano,  Piano (Electric)                        ', '\n                            Art Direction                        ', '\n                            Associate Producer,  Engineer,  Synthesizer Programming                        ', '\n                            A&R                        ', '\n                            Packaging Manager,  Reissue Package                        ', '\n                            Project Director                        ', '\n                            Drums,  Wood Block                        ', '\n                            Assistant Engineer                        ', '\n                            Mastering,  Reissue Mastering                        ', '\n                            Congas                        ', '\n                            Composer                        ', '\n                            Reissue Producer                        ', '\n                            A&R                        ', '\n                            Design,  Reissue Design                        ', '\n                            Organ                        ', '\n                            Chart Information                        ']}",The Isley Brothers - Live It Up,good,Live It Up
5,B.B. King And Bobby Bland,"{'artist': ['Steve Barri', 'Brook Benton', 'Bobby ""Blue"" Bland', 'Charles Brown', 'Dave Crawford', 'John Lee Hooker', 'Phil Kaye', 'B.B. King', 'Riley King', 'Deadric Malone', 'Charles Mann', ""Johnny Moore's Three Blazers"", 'Alain Moreau', 'James Burke Oden', 'Michael Omartian', 'Neil Slaven', 'Jules Taub', 'Sonny Thompson', 'Eddie Williams'], 'credit': ['\n                            Producer                        ', '\n                            Composer                        ', '\n                            Primary Artist,  Vocals                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Engineer                        ', '\n                            Composer,  Guitar,  Primary Artist,  Vocals                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Cover Design                        ', '\n                            Composer                        ', '\n                            Keyboards                        ', '\n                            Liner Notes                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ']}",B.B. King And Bobby Bland - Together For The First Time...Live,good,Together For The First Time...Live
6,Millie Jackson,"{'artist': ['Homer Banks', 'Barry Beckett', 'Billy Clements', 'Bobby Goldsboro', 'Carl Hampton', 'Roger Hawkins', 'David Hood', 'Millie Jackson', 'Raymond Jackson', 'Jimmy Johnson', 'Mike Lewis', 'Jerry Masters', 'Steve Melton', 'Phillip Mitchell', 'Tom Roady', 'Brad Shapiro', 'King Sterling', 'Ernie Winfrey', 'David Wiseltier', 'Bobby Womack'], 'credit': ['\n                            Composer                        ', '\n                            Keyboards                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Drums                        ', '\n                            Bass                        ', '\n                            Composer,  Concept,  Primary Artist,  Producer,  Vocals                        ', '\n                            Composer                        ', '\n                            Guitar                        ', '\n                            Orchestration                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Composer                        ', '\n                            Percussion                        ', '\n                            Orchestration,  Percussion,  Producer                        ', '\n                            Composer                        ', '\n                            Remixing                        ', '\n                            Cover Design                        ', '\n                            Composer                        ']}",Millie Jackson - Caught Up,good,Caught Up
7,B.T. Express,error,B.T. Express - Do It 'til You're Satisfied,error,Do It 'til You're Satisfied
8,The Stylistics,"{'artist': ['James Dunn', 'Airrion Love', 'Herb Murrell', 'James Smith', 'The Stylistics', 'Russell Thompkins, Jr.'], 'credit': ['\n                            Vocals                        ', '\n                            Vocals                        ', '\n                            Vocals                        ', '\n                            Vocals                        ', '\n                            Primary Artist                        ', '\n                            Vocals                        ']}",The Stylistics - Heavy,good,Heavy
9,Stevie Wonder,error,Stevie Wonder - Fullfillingness First Finale,error,Fullfillingness First Finale
