,artist,chart_date,key,lag_1,lag_2,next_pos,peak,position,title,total_weeks,weeks_on_chart,next_delta,delta_1,delta_2,move,move_2,debut
0,Ohio Players,1975-01-04,Ohio Players - Fire,51,51,1,1.0,1,Fire,22.0,0,0,50,0,0,stay,1975-01-04
1,Ohio Players,1975-01-11,Ohio Players - Fire,1,51,1,1.0,1,Fire,22.0,1,0,0,50,0,stay,1975-01-04
2,Ohio Players,1975-01-18,Ohio Players - Fire,1,1,1,1.0,1,Fire,22.0,2,0,0,0,0,stay,1975-01-04
3,Ohio Players,1975-01-25,Ohio Players - Fire,1,1,1,1.0,1,Fire,22.0,3,0,0,0,0,stay,1975-01-04
4,Ohio Players,1975-02-01,Ohio Players - Fire,1,1,4,1.0,1,Fire,22.0,4,-3,0,0,1,down,1975-01-04
5,Ohio Players,1975-02-08,Ohio Players - Fire,1,1,4,1.0,4,Fire,22.0,5,0,-3,0,0,stay,1975-01-04
6,Ohio Players,1975-02-15,Ohio Players - Fire,4,1,3,1.0,4,Fire,22.0,6,1,0,-3,1,up,1975-01-04
7,Ohio Players,1975-02-22,Ohio Players - Fire,4,4,2,1.0,3,Fire,22.0,7,1,1,0,1,up,1975-01-04
8,Ohio Players,1975-03-01,Ohio Players - Fire,3,4,2,1.0,2,Fire,22.0,8,0,1,1,0,stay,1975-01-04
9,Ohio Players,1975-03-08,Ohio Players - Fire,2,3,2,1.0,2,Fire,22.0,9,0,0,1,0,stay,1975-01-04
10,Ohio Players,1975-03-15,Ohio Players - Fire,2,2,2,1.0,2,Fire,22.0,10,0,0,0,0,stay,1975-01-04
11,Ohio Players,1975-03-22,Ohio Players - Fire,2,2,4,1.0,2,Fire,22.0,11,-2,0,0,1,down,1975-01-04
12,Ohio Players,1975-03-29,Ohio Players - Fire,2,2,3,1.0,4,Fire,22.0,12,1,-2,0,1,up,1975-01-04
13,Ohio Players,1975-04-05,Ohio Players - Fire,4,2,8,1.0,3,Fire,22.0,13,-5,1,-2,1,down,1975-01-04
14,Ohio Players,1975-04-12,Ohio Players - Fire,3,4,7,1.0,8,Fire,22.0,14,1,-5,1,1,up,1975-01-04
15,Ohio Players,1975-04-19,Ohio Players - Fire,8,3,7,1.0,7,Fire,22.0,15,0,1,-5,0,stay,1975-01-04
16,Ohio Players,1975-04-26,Ohio Players - Fire,7,8,9,1.0,7,Fire,22.0,16,-2,0,1,1,down,1975-01-04
17,Ohio Players,1975-05-03,Ohio Players - Fire,7,7,17,1.0,9,Fire,22.0,17,-8,-2,0,1,down,1975-01-04
