model,target,train,test,down precision,stay precision,up precision,down recall,stay recall,up recall,down f1,stay f1,up f1
Random Forest,both,0.984,0.646,0.67,0.46,0.72,0.79,0.37,0.68,0.72,0.41,0.7
Random Forest + Grid Search,both,0.702,0.663,0.65,0.52,0.75,0.86,0.31,0.69,0.74,0.39,0.72
SVC,both,0.924,0.633,0.59,0.54,0.76,0.84,0.29,0.65,0.7,0.38,0.7
Linear SVC,both,0.618,0.631,0.6,0.48,0.8,0.83,0.34,0.62,0.7,0.4,0.7
AdaBoost,both,0.653,0.658,0.64,0.53,0.75,0.84,0.33,0.7,0.73,0.41,0.72
Logistric Regression,both,0.643,0.643,0.61,0.54,0.74,0.85,0.26,0.7,0.71,0.35,0.72
XGBoost,both,0.674,0.680,0.66,0.56,0.77,0.86,0.32,0.73,0.74,0.4,0.75
Random Forest,move,0.989,0.734,,0.47,0.8,,0.36,0.86,,0.41,0.83
SVC,move,0.919,0.763,,0.6,0.78,,0.2,0.95,,0.31,0.86
Linear SVC,move,0.670,0.677,,0.39,0.8,,0.46,0.75,,0.42,0.78
AdaBoost,move,0.758,0.757,,0.59,0.77,,0.19,0.96,,0.25,0.86
Logistric Regression,move,0.747,0.750,,0.58,0.76,,0.07,0.98,,0.12,0.85
XGBoost,move,0.770,0.767,,0.69,0.77,,0.16,0.98,,0.26,0.86
Random Forest,dir,0.770,0.763,0.83,,0.88,0.91,,0.77,0.87,,0.83
SVC,dir,0.981,0.816,0.78,,0.89,0.92,,0.69,0.84,,0.78
Linear SVC,dir,0.747,0.754,0.69,,0.93,0.97,,0.5,0.81,,0.65
AdaBoost,dir,0.845,0.845,0.82,,0.89,0.92,,0.76,0.86,,0.82
Logistric Regression,dir,0.827,0.840,0.81,,0.88,0.91,,0.76,0.86,,0.81
XGBoost,dir,0.854,0.852,0.82,,0.9,0.93,,0.76,0.87,,0.83
